Mutation,ProteinExpressed,UnmutatedMean,UnmutatedStdDev,MutatedMean,MutatedStdDev,n,p_post_bonferroni
NPM1,TLX1,0.020252,0.204926,0.034335,0.079620,48,0.001016
NPM1,SNURF,30.509281,18.025432,12.853975,12.817989,48,0.001034
NPM1,FLT4,3.398794,7.758976,0.322479,0.461556,48,0.001045
NPM1,ENDOD1,7.347905,5.275510,3.164006,1.967614,48,0.001055
RUNX1,SETBP1,1.508851,4.146857,12.060931,8.534755,16,0.001072
RUNX1,PPP3CC,12.022874,4.119882,22.356731,4.673292,16,0.001072
NPM1,ZNF626,2.257206,2.377173,0.555577,0.809595,48,0.001077
NPM1,CHMP1B,43.744077,9.771341,56.041412,13.668140,48,0.001077
NPM1,LOC100188949,6.100255,6.165652,1.770723,1.101379,48,0.001077
NPM1,AIFM2,1.097708,0.789890,2.213990,1.233953,48,0.001099
NPM1,STK32B,7.816136,9.006588,1.955838,1.982200,48,0.001099
NPM1+FLT3-ITD,WNT7B,0.300501,0.914528,1.375800,1.387344,19,0.001124
NPM1,PTGFR,0.229794,0.829095,2.013637,5.902734,48,0.001145
NPM1,EIF1B,41.014893,11.448888,66.788915,37.007836,48,0.001145
DNMT3A+NPM1,POU6F1,2.811031,1.731335,0.899074,0.532859,23,0.001178
NPM1,C6orf47,7.808253,1.881000,10.115046,2.489729,48,0.001193
NPM1,ATP10A,7.818276,7.429434,2.021717,3.225928,48,0.001242
NPM1,IQCE,2.869534,1.463197,4.395871,1.266226,48,0.001242
NPM1,PAR1,0.229147,0.224381,0.062027,0.137220,48,0.001257
NPM1,SYNGR1,19.280019,10.527452,10.146413,4.804676,48,0.001293
NPM1,DMXL2,22.024384,20.634361,50.921077,33.031750,48,0.001320
NPM1,PMP22,3.566726,6.892301,0.798456,1.876849,48,0.001460
NPM1,CLSTN1,40.447365,14.985871,26.924335,8.243392,48,0.001461
NPM1,PAR-SN,7.060135,4.404558,2.933167,3.059304,48,0.001490
NPM1,PMEPA1,1.172920,1.142216,0.356200,0.318451,48,0.001521
TP53,IGSF5,0.001145,0.007682,0.086850,0.227958,14,0.001529
NPM1,ITGA6,23.743730,16.792710,10.302185,7.571689,48,0.001552
NPM1,AAGAB,11.564453,2.933367,15.208140,3.507463,48,0.001584
NPM1,ADAM17,19.333547,7.331352,27.922123,11.921486,48,0.001584
NPM1,GPSM2,18.225205,8.515896,10.484956,4.674204,48,0.001584
NPM1,APBA1,1.252568,2.295861,0.098967,0.224845,48,0.001594
NPM1,C9orf6,9.946131,2.269852,12.391429,2.710655,48,0.001616
NPM1,IFITM1,84.918565,83.094430,27.468177,20.289466,48,0.001682
NPM1,PTPRM,4.543465,7.034242,0.583358,1.259624,48,0.001682
FLT3-ITD,LRRC6,1.820093,0.993751,2.890776,0.825040,37,0.001773
